"Part";"Value";"Device";"Package";"Description";"BOM";"COMMISSIONED";"FUNCTION";"PART_CODE_BEL";"PART_CODE_EXT";"UPDATED";
"TP1430";"";"TEST_POINT_T_SMALL";"T_TEST_POINT_SMALL";"test point device";"NO";"2013-08-30";"";"TP_PAC_T_TEST_POINT_SMALL";"";"";
"TP1431";"";"TEST_POINT_T_SMALL";"T_TEST_POINT_SMALL";"test point device";"NO";"2013-08-30";"";"TP_PAC_T_TEST_POINT_SMALL";"";"";
"TP1432";"";"TEST_POINT_T_SMALL";"T_TEST_POINT_SMALL";"test point device";"NO";"2013-08-30";"";"TP_PAC_T_TEST_POINT_SMALL";"";"";
"TP1433";"";"TEST_POINT_T_SMALL";"T_TEST_POINT_SMALL";"test point device";"NO";"2013-08-30";"";"TP_PAC_T_TEST_POINT_SMALL";"";"";
"TP1434";"";"TEST_POINT_T_SMALL";"T_TEST_POINT_SMALL";"test point device";"NO";"2013-08-30";"";"TP_PAC_T_TEST_POINT_SMALL";"";"";
"TP1435";"";"TEST_POINT_T_SMALL";"T_TEST_POINT_SMALL";"test point device";"NO";"2013-08-30";"";"TP_PAC_T_TEST_POINT_SMALL";"";"";
"TP1436";"";"TEST_POINT_T_SMALL";"T_TEST_POINT_SMALL";"test point device";"NO";"2013-08-30";"";"TP_PAC_T_TEST_POINT_SMALL";"";"";
"TP1437";"";"TEST_POINT_T_SMALL";"T_TEST_POINT_SMALL";"test point device";"NO";"2013-08-30";"";"TP_PAC_T_TEST_POINT_SMALL";"";"";
"TP1438";"";"TEST_POINT_T_SMALL";"T_TEST_POINT_SMALL";"test point device";"NO";"2013-08-30";"";"TP_PAC_T_TEST_POINT_SMALL";"";"";
"X101";"VEC_EX";"MALE_2X20-T-VERTICAL";"T_MALE_2X20_VERTICAL_GRID_2.54MM";"drawn: Mario Blunk / Blunk electronic";"YES";"2014-10-14";"VEC_EX";"X_PAC_T_MALE_2X20_VERTICAL";"";"";
"X102";"PWR_CTRL_AIO";"MALE_2X20-T-VERTICAL";"T_MALE_2X20_VERTICAL_GRID_2.54MM";"drawn: Mario Blunk / Blunk electronic";"YES";"2014-10-14";"PWR_CTRL_AIO";"X_PAC_T_MALE_2X20_VERTICAL";"";"";
"X201";"JTAG";"MALE_2X5-T-VERTICAL_2.54MM";"T_MALE_2X5_VERTICAL_GRID_2.54MM";"drawn: Mario Blunk / Blunk electronic";"YES";"2013-12-16";"JTAG";"X_PAC_T_MALE_2X5_VERTICAL_2.54mm";"";"";
"X301";"CLAMP_1X8-T-5MM";"CLAMP_1X8-T-5MM";"T_WIRE_CLAMP_1X8_5MM";"drawn: Mario Blunk / Blunk electronic";"YES";"2015-01-15";"PWR IN";"X_PAC_T_CLAMP_1X8_5mm";"";"";
"X601";"UUT1";"MALE_2X13-T-VERTICAL_2.54MM";"T_MALE_2X13_VERTICAL_GRID_2.54MM";"edited: Mario Blunk";"YES";"2015-02-03";"TAP1";"X_PAC_T_MALE_2X13_VERTICAL_GRID_2.54mm";"";"";
"X701";"UUT2";"MALE_2X13-T-VERTICAL_2.54MM";"T_MALE_2X13_VERTICAL_GRID_2.54MM";"edited: Mario Blunk";"YES";"2015-02-03";"TAP2";"X_PAC_T_MALE_2X13_VERTICAL_GRID_2.54mm";"";"";
